date,open,high,low,close,volume
2021-01-04,339.55768693304,341.86237711584,334.1800765065,337.25299675023,29054
2021-01-05,340.32591699397,340.32591699397,331.10715626276,334.1800765065,22837
2021-01-06,331.10715626276,336.4847666893,331.10715626276,336.4847666893,33745
2021-01-07,338.02122681117,340.32591699397,331.87538632369,336.4847666893,39177
2021-01-10,336.4847666893,345.70352742051,336.4847666893,345.70352742051,90717
2021-01-11,348.00821760332,352.61759796892,345.70352742051,346.47175748145,59076
2021-01-12,363.37281882201,363.37281882201,346.47175748145,348.77644766425,28076
2021-01-13,347.23998754238,353.38582802986,345.70352742051,345.70352742051,52729
2021-01-17,352.61759796892,352.61759796892,347.23998754238,348.00821760332,52720
2021-01-18,348.77644766425,350.31290778612,344.16706729864,344.16706729864,61879
2021-01-19,345.70352742051,345.70352742051,340.32591699397,344.93529735958,64531
2021-01-20,345.70352742051,345.70352742051,340.32591699397,341.09414705491,43511
2021-01-21,357.99520839546,357.99520839546,338.7894568721,341.09414705491,48043
2021-01-24,341.86237711584,350.31290778612,341.86237711584,342.63060717677,58964
2021-01-25,342.63060717677,356.4587482736,341.09414705491,353.38582802986,125936
2021-01-26,357.22697833453,376.43272985789,353.38582802986,371.82334949228,216204
2021-01-27,372.59157955322,372.59157955322,359.53166851733,361.0681286392,87784
2021-01-28,361.0681286392,361.0681286392,348.00821760332,352.61759796892,112245
2021-01-31,351.84936790799,351.84936790799,338.7894568721,341.86237711584,106833
2021-02-01,341.86237711584,352.61759796892,338.02122681117,342.63060717677,39012
2021-02-02,344.93529735958,348.00821760332,341.86237711584,343.39883723771,63651
2021-02-03,345.70352742051,356.4587482736,343.39883723771,346.47175748145,86928
2021-02-04,352.61759796892,352.61759796892,339.55768693304,346.47175748145,77015
2021-02-07,346.47175748145,347.23998754238,343.39883723771,345.70352742051,68729
2021-02-08,348.77644766425,368.75042924855,342.63060717677,356.4587482736,107995
2021-02-09,368.75042924855,368.75042924855,346.47175748145,351.08113784705,52134
2021-02-10,353.38582802986,354.15405809079,344.93529735958,351.08113784705,34799
2021-02-11,348.00821760332,356.4587482736,346.47175748145,346.47175748145,58376
2021-02-14,345.70352742051,349.54467772518,342.63060717677,344.16706729864,52654
2021-02-15,361.0681286392,361.0681286392,344.93529735958,350.31290778612,64582
2021-02-16,353.38582802986,359.53166851733,347.23998754238,354.92228815173,103729
2021-02-17,355.69051821266,360.29989857827,350.31290778612,358.7634384564,119712
2021-02-18,361.0681286392,367.98219918761,357.22697833453,362.60458876107,117240
2021-02-21,361.83635870014,371.82334949228,358.7634384564,363.37281882201,115833
2021-02-22,364.14104888294,364.14104888294,353.38582802986,356.4587482736,99940
2021-02-23,353.38582802986,353.38582802986,342.63060717677,349.54467772518,61301
2021-02-24,366.44573906574,366.44573906574,348.00821760332,352.61759796892,76992
2021-02-25,357.99520839546,357.99520839546,345.70352742051,349.54467772518,60468
2021-02-28,345.70352742051,345.70352742051,336.4847666893,338.7894568721,87385
2021-03-01,338.7894568721,344.93529735958,334.1800765065,341.86237711584,86938
2021-03-02,344.93529735958,344.93529735958,330.33892620182,334.1800765065,70484
2021-03-03,334.1800765065,334.1800765065,323.42485565341,328.80246607995,74820
2021-03-04,331.10715626276,334.94830656743,330.33892620182,333.41184644556,58945
